name,family,short_label,n_params,n_train_rows,battle_types,phases_tag,auc_all,auc_myth,logloss_all,logloss_myth,brier_myth
recommender_v2_phase1,lightgbm,v2_phase1,,1871616,mixed,P1,0.7609080203219443,0.6070450838661444,0.5642342700142741,0.6874912000177096,0.24447688531290176
recommender_v2_phase1p2,lightgbm,v2_phase1p2,,1871616,mixed,P1+P2,0.761826761275662,0.6064592907084885,0.563782571892107,0.6882273908150901,0.24465861591818233
recommender_v2_phase1p4,lightgbm,v2_phase1p4,,1871616,mixed,P1+P4,0.7707977763624447,0.6060430925105598,0.5528476341915655,0.6790556964212373,0.24257324667964017
recommender_v2_phase4,lightgbm,v2_phase4,,1871616,mixed,P4,0.7530635295681727,0.6059189149815138,0.5683657419721211,0.6828791707448939,0.243642552002314
recommender_v2_default_fair,lightgbm,v2_default_fair,,1871616,mixed,vanilla,0.7180843406595159,0.604839827767993,0.6109070285733437,0.6969835166213738,0.2460620503820542
recommender_v2_phase1_solo,lightgbm,v2_phase1_solo,,348906,solo,P1,0.6281652291873819,0.6078535515627751,0.6644014312080675,0.6741659677743322,0.240717455676945
recommender_v2_phase1p2_solo,lightgbm,v2_phase1p2_solo,,348906,solo,P1+P2,0.6245312810866084,0.6044054966345053,0.665943277723904,0.6754506530022543,0.2413270774550358
recommender_v3_phase1_default,transformer,small+P1,253441.0,1871616,mixed,P1,0.7540017467645561,0.59325955577753,0.5696171188578552,0.67894461532116,0.24302522838115692
recommender_v3_phase1_big,transformer,big+P1,572801.0,1871616,mixed,P1,0.7603417617451311,0.5987622147415365,0.565104167461778,0.6768990554134675,0.24205996096134186
recommender_v3_phase1p2_default,transformer,small+P1P2,254593.0,1871616,mixed,P1+P2,0.7563590487740803,0.5944341631888967,0.5698118759297706,0.6785291260278492,0.2428264170885086
recommender_v3_phase1p2p4_default,transformer,small+P1P2P4,255745.0,1871616,mixed,P1+P2+P4,0.7718541678980227,0.6012871524833527,0.5512737942415101,0.6762998786714866,0.24175585806369781
recommender_v3_phase1p2p4_big,transformer,big+P1P2P4,575873.0,1871616,mixed,P1+P2+P4,0.7734112956682223,0.6083683558330929,0.5506822212482978,0.6741651614450079,0.24072614312171936
recommender_v3_phase1p2p4_m1,transformer,M1+P1P2P4 (1.1M),1095361.0,1871616,mixed,P1+P2+P4,0.7756207296571154,0.6116788911701171,0.5486812787189579,0.6733863292126768,0.24031850695610046
recommender_v3_phase1p2p4_m2,transformer,M2+P1P2P4 (1.6M),1566337.0,1871616,mixed,P1+P2+P4,0.7730684598029354,0.6130979558263158,0.5517152484156558,0.6736579882359238,0.24040557444095612
recommender_v3_phase1p2p4_xl,transformer,XL+P1P2P4,3287297.0,1871616,mixed,P1+P2+P4,0.7746307005628529,0.6180407593546736,0.5504614424635976,0.6725395515745035,0.23979724943637848
recommender_v3_phase1p2p4_m3,transformer,M3+P1P2P4 (5.1M),5112641.0,1871616,mixed,P1+P2+P4,0.7633689809985669,0.5891761686224984,0.5578130595326334,0.6803093242668574,0.2436765730381012
recommender_v3_phase1p4_default,transformer,small+P1P4,254593.0,1871616,mixed,P1+P4,0.7697478823641349,0.5948323081228765,0.553761433835431,0.6781331700304796,0.24264733493328094
recommender_v3_default,transformer,small,251233.0,1871616,mixed,vanilla,0.7377991175133329,0.5937309540452522,0.5879127960676903,0.6784806200159537,0.24281613528728485
recommender_v3_big,transformer,big,569857.0,1871616,mixed,vanilla,0.7635046060851839,0.6022313750681294,0.5615793352709696,0.6757322236591737,0.24149923026561737
recommender_v3_xl,transformer,XL,3275265.0,1871616,mixed,vanilla,0.7673691355392638,0.6108660691465135,0.557299591396529,0.6728579202321237,0.24011574685573578
recommender_v3_phase1p2_solo,transformer,small+P1P2 solo,251617.0,348906,solo,P1+P2,0.6014004348925758,0.5802432039043077,0.6753912284562508,0.6829660749600933,0.24496416747570038
